"","x"
"1",737438
"2",4887871
"3",3013825
"4",7171646
"5",39557045
"6",5695564
"7",3572665
"8",702455
"9",967171
"10",21299325
"11",10519475
"12",1420491
"13",3156145
"14",1754208
"15",12741080
"16",6691878
"17",2911510
"18",4468402
"19",4659978
"20",6902149
"21",6042718
"22",1338404
"23",9995915
"24",5611179
"25",6126452
"26",2986530
"27",1062305
"28",10383620
"29",760077
"30",1929268
"31",1356458
"32",8908520
"33",2095428
"34",3034392
"35",11689442
"36",3943079
"37",4190713
"38",12807060
"39",1057315
"40",5084127
"41",882235
"42",6770010
"43",28701845
"44",3161105
"45",8517685
"46",626299
"47",7535591
"48",5813568
"49",1805832
"50",577737
"51",19542209
